"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid Type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (VND)",Ends,"Clicks (all)","Campaign ID","Campaign name"
2023-09-21,2023-09-21,Video_2,inactive,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Video_1,inactive,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Video_3,inactive,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Image_1001,inactive,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Video_3,inactive,"EVO_Conv_TPB DOP_Retargeting_EKYC",30000,ABSOLUTE_OCPM,1000000,Daily,2023-09-19T11:10:24+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Image_1001,inactive,"EVO_Conv_TPB DOP_Retargeting_EKYC",30000,ABSOLUTE_OCPM,1000000,Daily,2023-09-19T11:10:24+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Carousel_1001,not_delivering,"EVO_Conv_TPB DOP_Retargeting_EKYC",30000,ABSOLUTE_OCPM,1000000,Daily,2023-09-19T11:10:24+0700,"1-day click",1,conversions:offsite_conversion.fb_pixel_custom./step/ekyc.selfie.active,436,664,43447,-,-,-,43447,"Đang diễn ra",29,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Carousel_1001,inactive,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Image_1002,inactive,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Image_1002,inactive,"EVO_Conv_TPB DOP_Retargeting_EKYC",30000,ABSOLUTE_OCPM,1000000,Daily,2023-09-19T11:10:24+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Video_1201,inactive,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Image_1102,inactive,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Image_0103,not_delivering,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",49,conversions:offsite_conversion.fb_pixel_custom./step/ekyc.selfie.active,12810,16530,28209.591836735,Average,-,-,1382270,"Đang diễn ra",688,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,"Reel ads",not_delivering,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",34,conversions:offsite_conversion.fb_pixel_custom./step/ekyc.selfie.active,11587,16821,32840.029411765,Average,-,-,1116561,"Đang diễn ra",590,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,"Reel ads",inactive,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Image_0103,active,"EVO_Conv_TPB DOP_Bank_CC",550000,ABSOLUTE_OCPM,12000000,Daily,2023-09-21T10:11:43+0700,"7-day click",1,conversions:offsite_conversion.fb_pixel_custom./step/esign.otp,16061,24738,2539597,Average,-,-,2539597,"Đang diễn ra",1327,23850577446010508,"EVO_Conv_TPB DOP_Esign"
2023-09-21,2023-09-21,Image_0204,active,"EVO_Conv_TPB DOP_Bank_CC",550000,ABSOLUTE_OCPM,12000000,Daily,2023-09-21T10:11:43+0700,"7-day click",,,1158,1553,,"Above average",-,-,41407,"Đang diễn ra",16,23850577446010508,"EVO_Conv_TPB DOP_Esign"
2023-09-21,2023-09-21,Image_0104,active,"EVO_Conv_TPB DOP_Bank_CC",550000,ABSOLUTE_OCPM,12000000,Daily,2023-09-21T10:11:43+0700,"7-day click",2,conversions:offsite_conversion.fb_pixel_custom./step/esign.otp,12272,19031,810739,Average,-,-,1621478,"Đang diễn ra",711,23850577446010508,"EVO_Conv_TPB DOP_Esign"
2023-09-21,2023-09-21,Video_0103,active,"EVO_Conv_TPB DOP_Bank_CC",550000,ABSOLUTE_OCPM,12000000,Daily,2023-09-21T10:11:43+0700,"7-day click",,,1487,1769,,Average,-,-,203656,"Đang diễn ra",101,23850577446010508,"EVO_Conv_TPB DOP_Esign"
2023-09-21,2023-09-21,Collection_2,active,"EVO_Conv_TPB DOP_Bank_CC",550000,ABSOLUTE_OCPM,12000000,Daily,2023-09-21T10:11:43+0700,"7-day click",5,conversions:offsite_conversion.fb_pixel_custom./step/esign.otp,16135,22453,337260.2,-,-,-,1686301,"Đang diễn ra",683,23850577446010508,"EVO_Conv_TPB DOP_Esign"
2023-09-21,2023-09-21,Image_0103,active,EVO_Conv_LAL2_6%Esign_Esign,700000,ABSOLUTE_OCPM,11000000,Daily,2023-08-18T11:24:46+0700,"7-day click",3,conversions:offsite_conversion.fb_pixel_custom./step/esign.otp,30493,39895,735165,Average,-,-,2205495,"Đang diễn ra",605,23850577446010508,"EVO_Conv_TPB DOP_Esign"
2023-09-21,2023-09-21,"Ad 3",active,EVO_Conv_LAL2_6%Esign_Esign,700000,ABSOLUTE_OCPM,11000000,Daily,2023-08-18T11:24:46+0700,"7-day click",,,62995,68711,,-,-,-,1370201,"Đang diễn ra",361,23850577446010508,"EVO_Conv_TPB DOP_Esign"
2023-09-21,2023-09-21,Video_0103,active,EVO_Conv_LAL2_6%Esign_Esign,700000,ABSOLUTE_OCPM,11000000,Daily,2023-08-18T11:24:46+0700,"7-day click",,,677,739,,Average,-,-,45426,"Đang diễn ra",15,23850577446010508,"EVO_Conv_TPB DOP_Esign"
2023-09-21,2023-09-21,Image_0104,active,EVO_Conv_LAL2_6%Esign_Esign,700000,ABSOLUTE_OCPM,11000000,Daily,2023-08-18T11:24:46+0700,"7-day click",3,conversions:offsite_conversion.fb_pixel_custom./step/esign.otp,13803,19169,351614.33333333,Average,-,-,1054843,"Đang diễn ra",284,23850577446010508,"EVO_Conv_TPB DOP_Esign"
2023-09-21,2023-09-21,Image_0204,active,EVO_Conv_LAL2_6%Esign_Esign,700000,ABSOLUTE_OCPM,11000000,Daily,2023-08-18T11:24:46+0700,"7-day click",,,457,487,,-,-,-,5753,"Đang diễn ra",1,23850577446010508,"EVO_Conv_TPB DOP_Esign"
2023-09-21,2023-09-21,Image_0107,active,EVO_Conv_LAL2_6%Esign_Esign,700000,ABSOLUTE_OCPM,11000000,Daily,2023-08-18T11:24:46+0700,"7-day click",,,2647,2689,,-,-,-,23795,"Đang diễn ra",5,23850577446010508,"EVO_Conv_TPB DOP_Esign"
2023-09-21,2023-09-21,Image_0107,active,"EVO_Conv_TPB DOP_Bank_CC",550000,ABSOLUTE_OCPM,12000000,Daily,2023-09-21T10:11:43+0700,"7-day click",,,7527,7774,,-,-,-,141916,"Đang diễn ra",61,23850577446010508,"EVO_Conv_TPB DOP_Esign"
2023-09-21,2023-09-21,Image_0103,not_delivering,"EVO_Conv_TPB DOP_Retargeting_EKYC",30000,ABSOLUTE_OCPM,1000000,Daily,2023-09-19T11:10:24+0700,"1-day click",45,conversions:offsite_conversion.fb_pixel_custom./step/ekyc.selfie.active,6680,8420,23412.577777778,Average,-,-,1053566,"Đang diễn ra",473,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Video_3,not_delivering,"EVO_Conv_TPB DOP_Retargeting_EKYC",30000,ABSOLUTE_OCPM,1000000,Daily,2023-09-19T11:10:24+0700,"1-day click",2,conversions:offsite_conversion.fb_pixel_custom./step/ekyc.selfie.active,369,428,37277.5,-,-,-,74555,"Đang diễn ra",32,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Video_3,not_delivering,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",6,conversions:offsite_conversion.fb_pixel_custom./step/ekyc.selfie.active,1438,1773,33032.166666667,-,-,-,198193,"Đang diễn ra",99,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
